"Group","Method","Route","Policy","Audited","AuditAction","Redaction","Status","Line"
"incidents","GET","/api/v1/incidents/{incidentId:long}/ics-205","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / IAP_PACKET_EXPORT_JSON","TBD","In Progress","4262"
"incidents","GET","/api/v1/incidents/{incidentId:long}/ics-209","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / IAP_PACKET_EXPORT_JSON","TBD","In Progress","4278"
"incidents","GET","/api/v1/incidents/{incidentId:long}/ics-214","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / IAP_PACKET_EXPORT_JSON","TBD","In Progress","4294"
"incidents","GET","/api/v1/incidents/{incidentId:long}/ics-215","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / IAP_PACKET_EXPORT_JSON","TBD","In Progress","4310"
"incidents","GET","/api/v1/incidents/{incidentId:long}/iap-packet","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / IAP_PACKET_EXPORT_JSON","TBD","In Progress","4326"
"incidents","GET","/api/v1/incidents/{incidentId:long}/iap-packet/print","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / IAP_PACKET_EXPORT_JSON","TBD","In Progress","4342"
"incidents","GET","/api/v1/incidents/{incidentId:long}/iap-packet/export/json","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / IAP_PACKET_EXPORT_JSON","TBD","In Progress","4364"
"incidents","GET","/api/v1/incidents/{incidentId:long}/iap-packet/export/print","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / IAP_PACKET_EXPORT_PRINT","TBD","In Progress","4445"
"incidents","GET","/api/v1/incidents/{incidentId:long}/iap-governance/evidence/json","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / IAP_GOVERNANCE_EVIDENCE_EXPORT_JSON","TBD","In Progress","4506"
"incidents","GET","/api/v1/incidents/{incidentId:long}/situation-reports","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / AFTER_ACTION_EVIDENCE_EXPORT_JSON","TBD","In Progress","4635"
"incidents","GET","/api/v1/incidents/{incidentId:long}/after-action/evidence/export/json","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / AFTER_ACTION_EVIDENCE_EXPORT_JSON","TBD","In Progress","4651"
"incidents","POST","/api/v1/incidents/{incidentId:long}/situation-reports","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / AUDIT_EVIDENCE_EXPORT_CSV","Yes","In Progress","4797"
"lookups","GET","/api/v1/lookups/ics-positions","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / AUDIT_EVIDENCE_EXPORT_CSV","Yes","In Progress","4832"
"reports","GET","/api/v1/reports/audit-events","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / AUDIT_EVIDENCE_EXPORT_CSV","Yes","In Progress","4845"
